date,open,high,low,close,volume
1962-01-02,2.4229,2.4633,2.3987,2.4148,259200
1962-01-03,2.4029,2.4029,2.3825,2.3906,177600
1962-01-04,2.3906,2.4106,2.3422,2.3625,220800
1962-01-05,2.3625,2.3664,2.2614,2.3018,327600
1962-01-08,2.3018,2.3018,2.2291,2.2979,372000
1962-01-09,2.2979,2.3299,2.2817,2.3098,279600
1962-01-10,2.3098,2.3341,2.3018,2.3221,235200
1962-01-11,2.3221,2.3260,2.2817,2.3260,195600
1962-01-12,2.3260,2.3299,2.2856,2.2937,202800
1962-01-15,2.2979,2.3260,2.2979,2.3179,254400
1962-01-16,2.3179,2.3460,2.3018,2.3383,166800
1962-01-17,2.3341,2.3341,2.2695,2.2856,256800
1962-01-18,2.2856,2.3098,2.2817,2.3098,177600
1962-01-19,2.3098,2.3299,2.3098,2.3299,159600
1962-01-22,2.3341,2.3664,2.3341,2.3383,170400
1962-01-23,2.3299,2.3299,2.2856,2.2937,273600
1962-01-24,2.2937,2.3460,2.2856,2.3383,192000
1962-01-25,2.3383,2.3541,2.2979,2.3137,190800
1962-01-26,2.3137,2.3179,2.2979,2.3060,121200
1962-01-29,2.3060,2.3179,2.3018,2.3098,122400
1962-01-30,2.3383,2.3745,2.3383,2.3502,213600
1962-01-31,2.3502,2.4229,2.3460,2.4229,225600
1962-02-01,2.4229,2.4352,2.3825,2.4068,308400
1962-02-02,2.4068,2.4190,2.3906,2.4190,177600
1962-02-05,2.4148,2.4148,2.3745,2.3745,169200
1962-02-06,2.3825,2.4068,2.3825,2.3987,124800
1962-02-07,2.3987,2.4229,2.3906,2.4229,202800
1962-02-08,2.4229,2.4391,2.4190,2.4391,211200
1962-02-09,2.4391,2.4391,2.3948,2.4268,181200
1962-02-12,2.4268,2.4352,2.4148,2.4268,98400
1962-02-13,2.4310,2.4552,2.4310,2.4552,145200
1962-02-14,2.4552,2.4833,2.4510,2.4756,194400
1962-02-15,2.4795,2.5198,2.4795,2.5118,224400
1962-02-16,2.5118,2.5160,2.4756,2.4956,280800
1962-02-19,2.4956,2.5076,2.4633,2.4756,187200
1962-02-20,2.4756,2.4756,2.4391,2.4714,128400
1962-02-21,2.4714,2.4833,2.4471,2.4633,129600
1962-02-23,2.4633,2.4672,2.4352,2.4391,195600
1962-02-26,2.4391,2.4471,2.3864,2.4068,151200
1962-02-27,2.4068,2.4229,2.4029,2.4229,111600
1962-02-28,2.4229,2.4310,2.4029,2.4106,199200
1962-03-01,2.4229,2.4552,2.4229,2.4552,109200
1962-03-02,2.4594,2.4875,2.4594,2.4714,151200
1962-03-05,2.4756,2.4956,2.4756,2.4756,166800
1962-03-06,2.4756,2.4795,2.4310,2.4391,112800
1962-03-07,2.4391,2.4672,2.4391,2.4552,121200
1962-03-08,2.4552,2.4998,2.4471,2.4917,212400
1962-03-09,2.5037,2.5321,2.5037,2.5279,237600
1962-03-12,2.5279,2.5360,2.5198,2.5321,253200
1962-03-13,2.5321,2.5321,2.5037,2.5198,154800
1962-03-14,2.5198,2.5237,2.4917,2.5076,130800
1962-03-15,2.5076,2.5360,2.4956,2.5160,226800
1962-03-16,2.5198,2.5360,2.5198,2.5321,124800
1962-03-19,2.5321,2.5321,2.5037,2.5037,133200
1962-03-20,2.5037,2.5118,2.4956,2.5037,102000
1962-03-21,2.5037,2.5118,2.4956,2.4998,193200
1962-03-22,2.4998,2.5076,2.4875,2.4875,122400
1962-03-23,2.4917,2.5198,2.4917,2.5198,153600
1962-03-26,2.5160,2.5160,2.4795,2.4795,139200
1962-03-27,2.4795,2.4998,2.4714,2.4998,150000
1962-03-28,2.5037,2.5321,2.5037,2.5160,159600
1962-03-29,2.5160,2.5360,2.4998,2.5118,140400
1962-03-30,2.5118,2.5160,2.4672,2.4833,176400
1962-04-02,2.4795,2.4795,2.4633,2.4714,136800
1962-04-03,2.4714,2.4714,2.4268,2.4429,204000
1962-04-04,2.4429,2.4672,2.4391,2.4471,164400
1962-04-05,2.4471,2.4672,2.4268,2.4672,212400
1962-04-06,2.4672,2.4795,2.4471,2.4510,169200
1962-04-09,2.4510,2.4594,2.4429,2.4471,142800
1962-04-10,2.4429,2.4429,2.4106,2.4106,171600
1962-04-11,2.4106,2.4352,2.3541,2.3664,151200
1962-04-12,2.3664,2.3787,2.3460,2.3541,172800
1962-04-13,2.3583,2.4429,2.3583,2.4148,205200
1962-04-16,2.4148,2.4190,2.3745,2.3948,182400
1962-04-17,2.3948,2.4068,2.3906,2.3987,172800
1962-04-18,2.3987,2.4068,2.3745,2.3906,423600
1962-04-19,2.3906,2.4029,2.3864,2.3948,122400
1962-04-23,2.3948,2.4029,2.3825,2.3825,207600
1962-04-24,2.3825,2.3864,2.3664,2.3664,267600
1962-04-25,2.3664,2.3787,2.3341,2.3341,265200
1962-04-26,2.3341,2.3625,2.3260,2.3341,172800
1962-04-27,2.3341,2.3703,2.2775,2.2937,256800
1962-04-30,2.2937,2.3098,2.1806,2.2129,332400
1962-05-01,2.2129,2.2775,2.1806,2.2656,382800
1962-05-02,2.2695,2.3137,2.2695,2.2856,349200
1962-05-03,2.2979,2.3260,2.2979,2.3260,374400
1962-05-04,2.3260,2.3341,2.2979,2.3179,237600
1962-05-07,2.3179,2.3221,2.2817,2.2937,250800
1962-05-08,2.2937,2.2937,2.2733,2.2895,186000
1962-05-09,2.2895,2.2937,2.2695,2.2856,262800
1962-05-10,2.2856,2.3018,2.2491,2.2656,318000
1962-05-11,2.2656,2.2937,2.2291,2.2372,465600
1962-05-14,2.2372,2.2733,2.2091,2.2733,363600
1962-05-15,2.2733,2.3018,2.2733,2.2856,315600
1962-05-16,2.2856,2.2937,2.2775,2.2895,208800
1962-05-17,2.2895,2.3060,2.2775,2.2895,97200
1962-05-18,2.2979,2.3221,2.2979,2.3221,225600
1962-05-21,2.3221,2.3221,2.3018,2.3018,166800
1962-05-22,2.3018,2.3060,2.2452,2.2452,202800
1962-05-23,2.2291,2.2291,2.1887,2.2010,265200
1962-05-24,2.2010,2.2252,2.1645,2.1725,342000
1962-05-25,2.1725,2.1725,2.1041,2.1283,306000
1962-05-28,2.1199,2.1199,2.0071,2.0191,508800
1962-05-29,2.0191,2.1283,1.9383,2.1041,937200
1962-05-31,2.1121,2.1645,2.1121,2.1241,522000
1962-06-01,2.1241,2.1444,2.0999,2.1322,328800
1962-06-04,2.1283,2.1283,2.0353,2.0353,242400
1962-06-05,2.0353,2.0999,2.0191,2.0475,381600
1962-06-06,2.0718,2.1322,2.0718,2.0718,264000
1962-06-07,2.0795,2.1121,2.0795,2.0795,127200
1962-06-08,2.0879,2.1283,2.0879,2.0999,160800
1962-06-11,2.0999,2.1199,2.0795,2.0957,141600
1962-06-12,2.0718,2.0718,1.9748,1.9826,328800
1962-06-13,1.9826,2.0314,1.9706,1.9787,333600
1962-06-14,1.9787,2.0191,1.9626,1.9664,69600
1962-06-15,1.9664,2.0272,1.9383,2.0272,421200
1962-06-18,2.0230,2.0230,1.9706,1.9949,270000
1962-06-19,1.9949,1.9987,1.9664,1.9826,153600
1962-06-20,1.9748,1.9748,1.9383,1.9383,295200
1962-06-21,1.9383,1.9383,1.8737,1.8737,366000
1962-06-22,1.8656,1.8656,1.7888,1.7930,399600
1962-06-25,1.7930,1.8253,1.7526,1.8091,555600
1962-06-26,1.8091,1.8291,1.7930,1.7930,406800
1962-06-27,1.7930,1.8214,1.7810,1.8214,213600
1962-06-28,1.8537,1.9102,1.8537,1.8980,315600
1962-06-29,1.9102,1.9506,1.9102,1.9222,264000
1962-07-02,1.9222,2.0553,1.9102,2.0314,237600
1962-07-03,2.0314,2.0595,2.0029,2.0314,382800
1962-07-05,2.0314,2.0756,2.0314,2.0756,211200
1962-07-06,2.0553,2.0553,2.0029,2.0314,187200
1962-07-09,2.0314,2.0634,1.9949,2.0475,208800
1962-07-10,2.0475,2.1079,2.0433,2.0553,352800
1962-07-11,2.0553,2.0756,2.0272,2.0676,174000
1962-07-12,2.0837,2.1199,2.0837,2.0957,294000
1962-07-13,2.0918,2.0918,2.0433,2.0795,232800
1962-07-16,2.0756,2.0756,2.0475,2.0756,118800
1962-07-17,2.0676,2.0676,2.0152,2.0152,157200
1962-07-18,2.0029,2.0029,1.9748,1.9868,187200
1962-07-19,1.9868,2.0391,1.9826,2.0191,181200
1962-07-20,2.0191,2.0553,2.0152,2.0272,121200
1962-07-23,2.0314,2.0595,2.0314,2.0553,116400
1962-07-24,2.0553,2.0634,2.0272,2.0272,118800
1962-07-25,2.0272,2.0272,1.9787,2.0191,110400
1962-07-26,2.0191,2.0595,2.0191,2.0595,150000
1962-07-27,2.0595,2.0795,2.0391,2.0553,175200
1962-07-30,2.0553,2.0918,2.0553,2.0918,127200
1962-07-31,2.0999,2.1522,2.0999,2.1444,344400
1962-08-01,2.1444,2.1483,2.1241,2.1322,171600
1962-08-02,2.1322,2.1483,2.1322,2.1483,141600
1962-08-03,2.1483,2.1645,2.1444,2.1645,184800
1962-08-06,2.1603,2.1603,2.1199,2.1241,184800
1962-08-07,2.1241,2.1283,2.1079,2.1199,192000
1962-08-08,2.1199,2.1199,2.0795,2.1199,124800
1962-08-09,2.1199,2.1402,2.1121,2.1241,142800
1962-08-10,2.1241,2.1522,2.1199,2.1444,186000
1962-08-13,2.1444,2.1444,2.1160,2.1241,146400
1962-08-14,2.1322,2.1806,2.1322,2.1806,261600
1962-08-15,2.1806,2.1887,2.1645,2.1725,181200
1962-08-16,2.1725,2.1926,2.1725,2.1806,163200
1962-08-17,2.1848,2.2091,2.1848,2.2010,175200
1962-08-20,2.2010,2.2330,2.1887,2.1968,186000
1962-08-21,2.1968,2.2252,2.1887,2.1968,140400
1962-08-22,2.2049,2.2452,2.2049,2.2452,178800
1962-08-23,2.2452,2.2572,2.2330,2.2372,174000
1962-08-24,2.2372,2.2414,2.1806,2.1968,246000
1962-08-27,2.1968,2.2168,2.1687,2.1687,151200
1962-08-28,2.1725,2.2010,2.1725,2.1848,196800
1962-08-29,2.1848,2.1887,2.1645,2.1806,124800
1962-08-30,2.1848,2.2049,2.1848,2.1887,148800
1962-08-31,2.1887,2.2129,2.1887,2.2129,98400
1962-09-04,2.2129,2.2168,2.1522,2.1522,126000
1962-09-05,2.1522,2.1564,2.1041,2.1121,204000
1962-09-06,2.1121,2.1402,2.0879,2.1121,224400
1962-09-07,2.1121,2.1603,2.1121,2.1564,205200
1962-09-10,2.1564,2.1887,2.1283,2.1848,121200
1962-09-11,2.1848,2.1926,2.1603,2.1603,159600
1962-09-12,2.1603,2.1848,2.1564,2.1848,73200
1962-09-13,2.1848,2.2129,2.1603,2.1645,210000
1962-09-14,2.1645,2.1968,2.1645,2.1848,94800
1962-09-17,2.1848,2.2129,2.1848,2.2010,98400
1962-09-18,2.2010,2.2168,2.1806,2.1968,178800
1962-09-19,2.1968,2.2010,2.1564,2.1926,164400
1962-09-20,2.1926,2.1926,2.1444,2.1603,145200
1962-09-21,2.1564,2.1564,2.1121,2.1160,218400
1962-09-24,2.1079,2.1079,2.0718,2.0918,249600
1962-09-25,2.0918,2.1041,2.0391,2.0999,214800
1962-09-26,2.0957,2.0957,2.0391,2.0514,198000
1962-09-27,2.0475,2.0475,2.0071,2.0110,186000
1962-09-28,2.0110,2.0634,2.0029,2.0634,210000
1962-10-01,2.0634,2.0634,2.0353,2.0553,142800
1962-10-02,2.0553,2.0957,2.0514,2.0957,104400
1962-10-03,2.0957,2.1079,2.0837,2.0837,132000
1962-10-04,2.0837,2.1322,2.0514,2.1322,198000
1962-10-05,2.1402,2.1806,2.1402,2.1687,152400
1962-10-08,2.1725,2.2010,2.1725,2.1806,154800
1962-10-09,2.1806,2.1887,2.1645,2.1887,144000
1962-10-10,2.1887,2.1968,2.1522,2.1603,127200
1962-10-11,2.1483,2.1483,2.1241,2.1360,162000
1962-10-12,2.1360,2.1360,2.1160,2.1283,80400
1962-10-15,2.1283,2.1725,2.1199,2.1725,135600
1962-10-16,2.1725,2.1887,2.1725,2.1725,152400
1962-10-17,2.1645,2.1645,2.1402,2.1603,184800
1962-10-18,2.1603,2.1603,2.1483,2.1522,150000
1962-10-19,2.1522,2.1603,2.0999,2.1121,332400
1962-10-22,2.1121,2.1121,2.0795,2.0918,278400
1962-10-23,2.0918,2.1241,2.0634,2.0718,279600
1962-10-24,2.0718,2.1806,2.0514,2.1645,314400
1962-10-25,2.1483,2.1483,2.1041,2.1322,250800
1962-10-26,2.1322,2.1603,2.1283,2.1603,158400
1962-10-29,2.1687,2.2049,2.1687,2.1687,214800
1962-10-30,2.1687,2.2129,2.1687,2.2091,231600
1962-10-31,2.2091,2.2091,2.1725,2.1887,189600
1962-11-01,2.1887,2.2168,2.1687,2.2049,208800
1962-11-02,2.2049,2.2491,2.1806,2.2452,340800
1962-11-05,2.2452,2.2614,2.2372,2.2491,295200
1962-11-07,2.2491,2.2656,2.2049,2.2533,309600
1962-11-08,2.2533,2.2733,2.2372,2.2491,226800
1962-11-09,2.2491,2.2491,2.2491,2.2491,0
1962-11-12,2.3098,2.3260,2.3098,2.3260,267600
1962-11-13,2.3260,2.3299,2.3098,2.3221,190800
1962-11-14,2.3221,2.3422,2.3060,2.3383,332400
1962-11-15,2.3383,2.3460,2.3260,2.3383,225600
1962-11-16,2.3383,2.3502,2.3060,2.3502,253200
1962-11-19,2.3383,2.3383,2.3179,2.3299,171600
1962-11-20,2.3299,2.3541,2.3299,2.3541,183600
1962-11-21,2.3541,2.3864,2.3460,2.3825,98400
1962-11-23,2.3864,2.4391,2.3864,2.4310,388800
1962-11-26,2.4310,2.4352,2.3703,2.4068,264000
1962-11-27,2.4068,2.4148,2.3864,2.4068,144000
1962-11-28,2.4068,2.4229,2.4068,2.4148,232800
1962-11-29,2.4148,2.4190,2.4029,2.4190,174000
1962-11-30,2.4190,2.4229,2.4106,2.4148,123600
1962-12-03,2.4148,2.4148,2.3948,2.4106,170400
1962-12-04,2.4106,2.4391,2.4106,2.4268,192000
1962-12-05,2.4268,2.4714,2.4268,2.4552,302400
1962-12-06,2.4552,2.4672,2.4391,2.4429,258000
1962-12-07,2.4429,2.4714,2.4310,2.4552,224400
1962-12-10,2.4552,2.4756,2.4429,2.4429,205200
1962-12-11,2.4429,2.4552,2.4148,2.4429,276000
1962-12-12,2.4429,2.5076,2.4391,2.4875,262800
1962-12-13,2.4875,2.4956,2.4756,2.4795,147600
1962-12-14,2.4795,2.4917,2.4756,2.4875,105600
1962-12-17,2.4875,2.4998,2.4756,2.4875,68400
1962-12-18,2.4756,2.4756,2.4148,2.4310,140400
1962-12-19,2.4310,2.4552,2.4068,2.4552,272400
1962-12-20,2.4552,2.4633,2.4429,2.4552,178800
1962-12-21,2.4552,2.4594,2.4429,2.4510,90000
1962-12-24,2.4510,2.4552,2.4471,2.4510,109200
1962-12-26,2.4510,2.4756,2.4510,2.4756,127200
1962-12-27,2.4795,2.4875,2.4795,2.4875,140400
1962-12-28,2.4875,2.4875,2.4714,2.4875,132000
1962-12-31,2.4833,2.4833,2.4756,2.4795,99600
1963-01-02,2.4795,2.4833,2.4429,2.4672,146400
1963-01-03,2.4672,2.4917,2.4594,2.4833,361200
1963-01-04,2.4833,2.5037,2.4833,2.4956,282000
1963-01-07,2.4875,2.4875,2.4552,2.4795,289200
1963-01-08,2.4795,2.5198,2.4756,2.5160,403200
1963-01-09,2.5160,2.5360,2.5037,2.5198,310800
1963-01-10,2.5198,2.5602,2.5160,2.5521,397200
1963-01-11,2.5521,2.5521,2.5399,2.5479,157200
1963-01-14,2.5479,2.5521,2.5360,2.5399,178800
1963-01-15,2.5399,2.5441,2.5237,2.5399,201600
1963-01-16,2.5399,2.5441,2.5160,2.5198,240000
1963-01-17,2.5198,2.5399,2.5118,2.5279,132000
1963-01-18,2.5279,2.5479,2.5237,2.5321,84000
1963-01-21,2.5321,2.5479,2.5160,2.5360,174000
1963-01-22,2.5360,2.5399,2.5321,2.5360,81600
1963-01-23,2.5360,2.5641,2.5321,2.5479,248400
1963-01-24,2.5479,2.5521,2.5321,2.5479,126000
1963-01-25,2.5479,2.5602,2.5321,2.5521,151200
1963-01-28,2.5521,2.5641,2.5441,2.5602,199200
1963-01-29,2.5602,2.5641,2.5479,2.5602,88800
1963-01-30,2.5479,2.5479,2.4998,2.5076,150000
1963-01-31,2.5076,2.5321,2.4917,2.5279,130800
1963-02-01,2.5279,2.5321,2.5118,2.5198,96000
1963-02-04,2.5198,2.5237,2.4998,2.5076,181200
1963-02-05,2.5076,2.5198,2.4998,2.5160,174000
1963-02-06,2.5160,2.5321,2.5160,2.5237,145200
1963-02-07,2.5237,2.5441,2.5198,2.5360,128400
1963-02-08,2.5360,2.5441,2.5198,2.5399,151200
1963-02-11,2.5399,2.5399,2.5279,2.5321,165600
1963-02-12,2.5279,2.5279,2.5118,2.5279,135600
1963-02-13,2.5279,2.5563,2.5237,2.5521,232800
1963-02-14,2.5521,2.5521,2.5279,2.5279,111600
1963-02-15,2.5279,2.5521,2.5237,2.5521,122400
1963-02-18,2.5521,2.5521,2.5360,2.5441,160800
1963-02-19,2.5360,2.5360,2.4956,2.5037,114000
1963-02-20,2.4714,2.4714,2.4106,2.4471,208800
1963-02-21,2.4471,2.4833,2.4068,2.4795,183600
1963-02-25,2.4594,2.4594,2.4229,2.4310,165600
1963-02-26,2.4310,2.4391,2.4068,2.4190,147600
1963-02-27,2.4190,2.4229,2.3987,2.4106,79200
1963-02-28,2.3987,2.3987,2.3460,2.3502,230400
1963-03-01,2.3541,2.3787,2.3541,2.3664,159600
1963-03-04,2.3664,2.3987,2.3541,2.3625,133200
1963-03-05,2.3625,2.3745,2.3422,2.3422,132000
1963-03-06,2.3422,2.3745,2.3179,2.3745,134400
1963-03-07,2.3745,2.4068,2.3745,2.3906,183600
1963-03-08,2.3948,2.4190,2.3948,2.3948,135600
1963-03-11,2.3948,2.4268,2.3864,2.4229,134400
1963-03-12,2.4190,2.4190,2.3906,2.4068,153600
1963-03-13,2.4068,2.4229,2.3987,2.4106,122400
1963-03-14,2.4106,2.4190,2.3625,2.3625,130800
1963-03-15,2.3664,2.3987,2.3664,2.3787,121200
1963-03-18,2.3787,2.3787,2.3341,2.3341,98400
1963-03-19,2.3341,2.3502,2.3341,2.3460,99600
1963-03-20,2.3460,2.3664,2.3383,2.3625,135600
1963-03-21,2.3625,2.3825,2.3583,2.3583,168000
1963-03-22,2.3583,2.3745,2.3460,2.3664,116400
1963-03-25,2.3664,2.3825,2.3625,2.3664,170400
1963-03-26,2.3703,2.3987,2.3703,2.3825,159600
1963-03-27,2.3825,2.4106,2.3825,2.3864,174000
1963-03-28,2.3948,2.4190,2.3948,2.4068,177600
1963-03-29,2.4068,2.4229,2.4068,2.4106,156000
1963-04-01,2.4106,2.4148,2.3948,2.4068,136800
1963-04-02,2.4029,2.4029,2.3625,2.3625,235200
1963-04-03,2.3625,2.4106,2.3502,2.4068,175200
1963-04-04,2.4068,2.4229,2.3987,2.4148,192000
1963-04-05,2.4148,2.4917,2.4106,2.4795,334800
1963-04-08,2.4795,2.4917,2.4594,2.4795,178800
1963-04-09,2.4795,2.4875,2.4672,2.4714,180000
1963-04-10,2.4714,2.4795,2.4352,2.4714,150000
1963-04-11,2.4714,2.4714,2.4429,2.4552,207600
1963-04-15,2.4633,2.5037,2.4633,2.4956,238800
1963-04-16,2.4956,2.5160,2.4795,2.5076,174000
1963-04-17,2.5076,2.5279,2.4956,2.5237,290400
1963-04-18,2.5198,2.5198,2.4956,2.5118,141600
1963-04-19,2.5118,2.5198,2.5037,2.5118,96000
1963-04-22,2.5118,2.5360,2.5076,2.5118,171600
1963-04-23,2.5160,2.5844,2.5160,2.5844,720000
1963-04-24,2.5844,2.5844,2.5641,2.5764,367200
1963-04-25,2.5764,2.5764,2.5521,2.5602,180000
1963-04-26,2.5602,2.5725,2.5521,2.5521,187200
1963-04-29,2.5521,2.5602,2.5399,2.5479,147600
1963-04-30,2.5479,2.5641,2.5279,2.5441,162000
1963-05-01,2.5521,2.6006,2.5521,2.5886,504000
1963-05-02,2.5925,2.6168,2.5925,2.6087,303600
1963-05-03,2.6087,2.6168,2.5844,2.5967,211200
1963-05-06,2.6006,2.6206,2.6006,2.6129,219600
1963-05-07,2.6087,2.6087,2.5844,2.6045,220800
1963-05-08,2.6168,2.6491,2.6168,2.6491,337200
1963-05-09,2.6533,2.6694,2.6533,2.6652,225600
1963-05-10,2.6610,2.6610,2.6329,2.6410,195600
1963-05-13,2.6410,2.6571,2.6368,2.6368,182400
1963-05-14,2.6368,2.6410,2.6087,2.6206,201600
1963-05-15,2.6206,2.6533,2.6087,2.6449,204000
1963-05-16,2.6449,2.6571,2.6368,2.6368,172800
1963-05-17,2.6368,2.6491,2.6290,2.6491,110400
1963-05-20,2.6410,2.6410,2.6129,2.6248,135600
1963-05-21,2.6248,2.6533,2.6206,2.6410,115200
1963-05-22,2.6410,2.6533,2.6329,2.6329,116400
1963-05-23,2.6368,2.6652,2.6368,2.6533,168000
1963-05-24,2.6533,2.6975,2.6410,2.6772,272400
1963-05-27,2.6772,2.6772,2.6491,2.6733,171600
1963-05-28,2.6733,2.6936,2.6571,2.6772,136800
1963-05-29,2.6772,2.6975,2.6652,2.6814,163200
1963-05-31,2.6856,2.7217,2.6856,2.7137,236400
1963-06-03,2.7137,2.7259,2.6975,2.6975,117600
1963-06-04,2.6975,2.7056,2.6772,2.6894,129600
1963-06-05,2.6894,2.6894,2.6368,2.6491,194400
1963-06-06,2.6491,2.6652,2.6368,2.6491,106800
1963-06-07,2.6491,2.6733,2.6410,2.6652,128400
1963-06-10,2.6652,2.6652,2.6329,2.6449,147600
1963-06-11,2.6410,2.6410,2.6206,2.6290,116400
1963-06-12,2.6290,2.6571,2.6248,2.6491,166800
1963-06-13,2.6491,2.6491,2.6206,2.6290,111600
1963-06-14,2.6290,2.6368,2.6206,2.6248,88800
1963-06-17,2.6248,2.6290,2.5725,2.5725,168000
1963-06-18,2.5725,2.5886,2.5602,2.5844,163200
1963-06-19,2.5844,2.6168,2.5844,2.6045,150000
1963-06-20,2.6045,2.6290,2.5844,2.6206,211200
1963-06-21,2.6206,2.6368,2.6006,2.6290,123600
1963-06-24,2.6290,2.6368,2.6168,2.6368,97200
1963-06-25,2.6368,2.6449,2.6168,2.6248,110400
1963-06-26,2.6087,2.6087,2.5725,2.5725,140400
1963-06-27,2.5725,2.5925,2.5118,2.5198,216000
1963-06-28,2.5198,2.5602,2.5198,2.5521,153600
1963-07-01,2.5479,2.5479,2.5198,2.5399,110400
1963-07-02,2.5399,2.5802,2.5279,2.5725,133200
1963-07-03,2.5764,2.6087,2.5764,2.6045,142800
1963-07-05,2.6045,2.6087,2.5886,2.6006,84000
1963-07-08,2.6006,2.6045,2.5764,2.5925,85200
1963-07-09,2.5925,2.6129,2.5802,2.6006,140400
1963-07-10,2.6006,2.6087,2.5764,2.5802,147600
1963-07-11,2.5802,2.6006,2.5725,2.5764,114000
1963-07-12,2.5764,2.5925,2.5563,2.5602,121200
1963-07-15,2.5563,2.5563,2.5360,2.5360,76800
1963-07-16,2.5360,2.5521,2.5279,2.5521,168000
1963-07-17,2.5521,2.5802,2.5521,2.5602,157200
1963-07-18,2.5602,2.5764,2.5521,2.5521,79200
1963-07-19,2.5479,2.5479,2.5237,2.5321,105600
1963-07-22,2.5321,2.5441,2.5037,2.5118,112800
1963-07-23,2.5118,2.5279,2.4672,2.4756,205200
1963-07-24,2.4756,2.5076,2.4633,2.4998,198000
1963-07-25,2.4998,2.5160,2.4714,2.4714,152400
1963-07-26,2.4714,2.4875,2.4594,2.4833,142800
1963-07-29,2.4833,2.4956,2.4672,2.4756,103200
1963-07-30,2.4875,2.5160,2.4875,2.5160,133200
1963-07-31,2.5160,2.5360,2.5076,2.5237,171600
1963-08-01,2.5237,2.5360,2.5160,2.5360,91200
1963-08-02,2.5360,2.5521,2.5321,2.5441,80400
1963-08-05,2.5441,2.5683,2.5399,2.5641,93600
1963-08-06,2.5641,2.5925,2.5641,2.5925,132000
1963-08-07,2.5925,2.5967,2.5683,2.5683,120000
1963-08-08,2.5683,2.5764,2.5563,2.5602,110400
1963-08-09,2.5602,2.5844,2.5399,2.5844,151200
1963-08-12,2.5844,2.6045,2.5764,2.5886,120000
1963-08-13,2.5967,2.6290,2.5967,2.6290,176400
1963-08-14,2.6290,2.6449,2.6087,2.6449,168000
1963-08-15,2.6449,2.6533,2.6329,2.6410,211200
1963-08-16,2.6410,2.6449,2.6248,2.6410,112800
1963-08-19,2.6410,2.6449,2.6248,2.6329,116400
1963-08-20,2.6290,2.6290,2.6129,2.6206,122400
1963-08-21,2.6206,2.6368,2.6168,2.6329,108000
1963-08-22,2.6329,2.6329,2.6129,2.6206,82800
1963-08-23,2.6206,2.6368,2.6206,2.6290,92400
1963-08-26,2.6290,2.6329,2.6045,2.6168,91200
1963-08-27,2.6129,2.6129,2.5764,2.5764,102000
1963-08-28,2.5925,2.6206,2.5925,2.6168,109200
1963-08-29,2.6168,2.6368,2.6129,2.6129,109200
1963-08-30,2.6206,2.6329,2.6206,2.6329,88800
1963-09-03,2.6329,2.6491,2.6290,2.6491,181200
1963-09-04,2.6449,2.6449,2.6087,2.6087,177600
1963-09-05,2.6087,2.6410,2.6045,2.6410,138000
1963-09-06,2.6410,2.6610,2.6290,2.6368,270000
1963-09-09,2.6368,2.6410,2.6168,2.6248,216000
1963-09-10,2.6248,2.6449,2.6045,2.6329,154800
1963-09-11,2.6368,2.6571,2.6368,2.6533,235200
1963-09-12,2.6533,2.6894,2.6368,2.6856,320400
1963-09-13,2.6856,2.7056,2.6856,2.6856,219600
1963-09-16,2.6856,2.6936,2.6410,2.6449,127200
1963-09-17,2.6491,2.6856,2.6491,2.6533,184800
1963-09-18,2.6533,2.6772,2.6368,2.6368,158400
1963-09-19,2.6410,2.6814,2.6410,2.6814,204000
