date,open,high,low,close,volume
1986-03-13,0.0561,0.0643,0.0561,0.0616,1031788800
1986-03-14,0.0616,0.0649,0.0616,0.0638,308160000
1986-03-17,0.0638,0.0654,0.0638,0.0649,133171200
1986-03-18,0.0649,0.0654,0.0627,0.0632,67766400
1986-03-19,0.0632,0.0638,0.0616,0.0621,47894400
1986-03-20,0.0621,0.0621,0.0599,0.0605,58435200
1986-03-21,0.0605,0.0616,0.0577,0.0588,59990400
1986-03-24,0.0588,0.0588,0.0566,0.0572,65289600
1986-03-25,0.0572,0.0583,0.0566,0.0583,32083200
1986-03-26,0.0583,0.0605,0.0577,0.0599,22752000
1986-03-27,0.0599,0.0610,0.0599,0.0610,16848000
1986-03-31,0.0610,0.0610,0.0594,0.0605,12873600
1986-04-01,0.0605,0.0605,0.0599,0.0599,11088000
1986-04-02,0.0599,0.0616,0.0599,0.0605,27014400
1986-04-03,0.0610,0.0627,0.0610,0.0610,23040000
1986-04-04,0.0610,0.0616,0.0610,0.0610,26582400
1986-04-07,0.0610,0.0616,0.0588,0.0599,16560000
1986-04-08,0.0599,0.0616,0.0599,0.0605,10252800
1986-04-09,0.0605,0.0621,0.0605,0.0616,12153600
1986-04-10,0.0616,0.0627,0.0605,0.0621,13881600
1986-04-11,0.0627,0.0643,0.0627,0.0632,17222400
1986-04-14,0.0632,0.0643,0.0632,0.0638,12153600
1986-04-15,0.0638,0.0638,0.0616,0.0638,9302400
1986-04-16,0.0638,0.0665,0.0632,0.0660,31910400
1986-04-17,0.0660,0.0665,0.0660,0.0665,22003200
1986-04-18,0.0665,0.0665,0.0638,0.0643,21628800
1986-04-21,0.0643,0.0649,0.0627,0.0643,22924800
1986-04-22,0.0643,0.0643,0.0632,0.0632,15552000
1986-04-23,0.0632,0.0638,0.0627,0.0635,15609600
1986-04-24,0.0635,0.0709,0.0632,0.0698,62352000
1986-04-25,0.0704,0.0773,0.0704,0.0742,85795200
1986-04-28,0.0742,0.0753,0.0737,0.0748,28886400
1986-04-29,0.0748,0.0748,0.0720,0.0726,30326400
1986-04-30,0.0726,0.0731,0.0693,0.0709,30902400
1986-05-01,0.0709,0.0709,0.0687,0.0698,54345600
1986-05-02,0.0698,0.0709,0.0693,0.0698,20246400
1986-05-05,0.0698,0.0698,0.0693,0.0693,3254400
1986-05-06,0.0698,0.0709,0.0698,0.0698,9734400
1986-05-07,0.0698,0.0704,0.0687,0.0698,5155200
1986-05-08,0.0698,0.0704,0.0693,0.0704,3542400
1986-05-09,0.0704,0.0704,0.0698,0.0698,6076800
1986-05-12,0.0698,0.0720,0.0698,0.0704,10483200
1986-05-13,0.0704,0.0715,0.0704,0.0709,3830400
1986-05-14,0.0709,0.0709,0.0704,0.0704,9302400
1986-05-15,0.0704,0.0715,0.0704,0.0704,3801600
1986-05-16,0.0704,0.0726,0.0704,0.0709,11952000
1986-05-19,0.0709,0.0709,0.0693,0.0698,11001600
1986-05-20,0.0698,0.0698,0.0687,0.0693,61977600
1986-05-21,0.0693,0.0698,0.0682,0.0682,8092800
1986-05-22,0.0682,0.0687,0.0682,0.0682,4406400
1986-05-23,0.0682,0.0693,0.0682,0.0682,4089600
1986-05-27,0.0682,0.0704,0.0682,0.0704,13881600
1986-05-28,0.0704,0.0726,0.0704,0.0726,15523200
1986-05-29,0.0726,0.0753,0.0720,0.0742,45676800
1986-05-30,0.0748,0.0781,0.0748,0.0770,27072000
1986-06-02,0.0770,0.0770,0.0748,0.0748,19728000
1986-06-03,0.0748,0.0748,0.0737,0.0748,5011200
1986-06-04,0.0748,0.0753,0.0737,0.0742,4723200
1986-06-05,0.0742,0.0753,0.0737,0.0753,13708800
1986-06-06,0.0753,0.0753,0.0742,0.0753,3427200
1986-06-09,0.0753,0.0753,0.0720,0.0720,12672000
