date,open,high,low,close,volume
1970-01-02,0.7069,0.7117,0.7061,0.7101,1664000
1970-01-05,0.7101,0.7150,0.7061,0.7134,1036800
1970-01-06,0.7117,0.7117,0.7053,0.7101,960000
1970-01-07,0.7117,0.7230,0.7117,0.7214,1420800
1970-01-08,0.7214,0.7327,0.7198,0.7295,1062400
1970-01-09,0.7295,0.7295,0.7247,0.7279,524800
1970-01-12,0.7279,0.7279,0.7230,0.7230,742400
1970-01-13,0.7230,0.7247,0.7198,0.7198,819200
1970-01-14,0.7230,0.7408,0.7230,0.7230,1190400
1970-01-15,0.7230,0.7263,0.7214,0.7230,780800
1970-01-16,0.7279,0.7424,0.7279,0.7311,819200
1970-01-19,0.7296,0.7296,0.7231,0.7247,1024000
1970-01-20,0.7263,0.7304,0.7263,0.7272,537600
1970-01-21,0.7272,0.7328,0.7231,0.7320,1356800
1970-01-22,0.7320,0.7506,0.7239,0.7489,1804800
1970-01-23,0.7457,0.7457,0.7263,0.7263,5785600
1970-01-26,0.7263,0.7280,0.7167,0.7167,1062400
1970-01-27,0.7183,0.7231,0.7183,0.7183,294400
1970-01-28,0.7183,0.7223,0.7134,0.7134,1651200
1970-01-29,0.7134,0.7134,0.7086,0.7118,832000
1970-01-30,0.7143,0.7223,0.7143,0.7167,870400
1970-02-02,0.7167,0.7183,0.7102,0.7102,4902400
1970-02-03,0.7118,0.7287,0.7118,0.7231,2470400
1970-02-04,0.7231,0.7296,0.7231,0.7247,768000
1970-02-05,0.7247,0.7287,0.7215,0.7263,908800
1970-02-06,0.7263,0.7393,0.7247,0.7360,1062400
1970-02-09,0.7360,0.7457,0.7320,0.7425,1280000
1970-02-10,0.7425,0.7425,0.7393,0.7409,576000
1970-02-11,0.7409,0.7425,0.7360,0.7425,1318400
1970-02-12,0.7441,0.7506,0.7441,0.7489,1587200
1970-02-13,0.7473,0.7473,0.7360,0.7393,3097600
1970-02-16,0.7393,0.7538,0.7393,0.7401,870400
1970-02-17,0.7393,0.7393,0.7070,0.7134,3084800
1970-02-18,0.7127,0.7127,0.6948,0.6973,2598400
1970-02-19,0.6973,0.7005,0.6908,0.7005,4121600
1970-02-20,0.7005,0.7046,0.6989,0.6989,1689600
1970-02-24,0.6989,0.7021,0.6941,0.7021,1971200
1970-02-25,0.7021,0.7054,0.6924,0.6973,5785600
1970-02-26,0.6844,0.6844,0.6811,0.6819,3494400
1970-02-27,0.6844,0.7102,0.6844,0.7054,2342400
1970-03-02,0.7054,0.7183,0.7054,0.7086,3084800
1970-03-03,0.7086,0.7134,0.7037,0.7134,1753600
1970-03-04,0.7134,0.7158,0.7102,0.7118,2150400
